id_transacao,descricao_produtos
212,CUECA LISA HAOS CONFECÇÕES;CUECAS BOX
213,CUECA LISA HAOS CONFECÇÕES
214,SANDALIA MINI TREKKER PIMPOLHO FASE CARAMELO;SAPATO MOCASSIM PIMPOLHO FASE OFF WHITE
215,SHORT ZAFIRINHA KIDS
216,CUECA LISA HAOS CONFECÇÕES;REGATA MACHAO SERGIO MODAS;SHORT TAQUETEL ESTAMPADO MAR DE PRATA
217,CONJUNTO PROTEÇÃO UV + TURMA DO MAR
218,CUECAS BOX;MEIA COLORIDA - MASC PIMPOLHO AZULCACHORRO;MEIA COLORIDA - MASC PIMPOLHO BRANCAXADREZ;SHORT MAURICINHO ITALICOMAR DE PRATA
219,TOALHAS DE DESENHO
220,CAMISA MEIA MANGA LISA MIC
221,CALCINHA TANGA FOFINHA SG KIDS;CAMISETA LISA ALGODÃO MIC;PIJAMA INFANTIL LONGO COM PUNHO MICOL BABY KIDS
222,CALCINHA ALGODÃO LISA LUZIANE;CALCINHA BOX AMO TI AMO AMORARMA;SHORT JUVENIL NACLEFS MODA FASHION
223,CAMISETA BORDADA ALGODÃO MIC
224,CUECA LISA HAOS CONFECÇÕES
225,MEIA COLORIDA - FEM PIMPOLHO ROSAPORQUINHA;MEIA COLORIDA CANO ALTO - FEM PIMPOLHO BRANCAPORQUINHA
226,CALCINHA LA MAYARA;CUECA ESTAMPADA HAOS
227,REGATA CANELADA MANIA VISUAL LD CL KIDS
228,BODY TEMATICO SAINHA;CALCINHA BOLINHA BABADO NA COXA MIC CONFECÇÕES;CALCINHA LA MAYARA;CAMISETA BORDADA ALGODÃO MIC;COLHER INFANTIL DE SILICONE UNISSEX PIMPOLHO ROSA
229,BERMUDA DE LINHO DIFERENTE KIDS;SHORT MAURICINHO ITALICOMAR DE PRATA;VESTIDO PAULINA COM CALCINHA
230,VESTIDO MALHA NIKKO CAT POA LARANJA
231,CALCINHA BOX;CALCINHA TANGA FOFINHA SG KIDS;LEGUE CURTA LISA D'VYSTEK;REGATA CANELADA MANIA VISUAL LD CL KIDS;SHORT JUVENIL NACLEFS MODA FASHION
